0,1,2,3,4,5,6,7,8,9,10,11
622.03771,618.7740699999999,614.78195,612.4252,607.1510599999999,592.34128,597.73401,605.46429,610.7762299999999,612.90477,616.13903,618.79207
621.56858,618.25651,613.13983,610.60051,605.02961,589.9008600000001,596.14293,603.39864,609.50406,613.6173099999999,616.25847,618.8989
621.12951,617.85046,612.78004,609.91119,604.51441,589.46234,595.67398,601.98557,610.02363,612.09467,615.24491,617.9536
620.25627,616.84083,611.8029899999999,609.2660199999999,603.1510000000001,588.52185,595.50689,601.3339199999999,609.29991,611.52104,614.8851199999999,617.53558
619.74321,616.46357,611.59952,608.58419,602.7408899999999,588.0358100000001,595.08473,601.61541,608.7338,610.8064400000001,614.3287399999999,616.89389
619.7295300000001,616.33304,611.7889399999999,608.39885,602.3466,588.6576600000001,594.73656,600.8758499999999,608.68152,611.0432000000001,614.0781400000001,616.74382
618.60398,615.1881199999999,610.39851,608.58303,602.7054,588.7096200000001,594.23635,600.39094,608.95457,611.00824,614.49641,617.18183
618.61476,616.0846300000001,611.1889900000001,608.0344299999999,602.07899,587.36,594.12798,599.8918299999999,607.2758699999999,609.3873199999999,613.12959,615.76066
619.0376,615.6206599999999,610.29113,606.95778,602.93358,587.84199,593.9858,599.34493,607.49024,609.6348099999999,612.89616,615.5463400000001
618.39264,615.57755,609.98336,607.30678,601.65924,586.78617,593.3005099999999,599.7971200000001,607.78653,610.01562,612.5392599999999,615.1994699999999
619.8278,614.0203300000001,611.09336,607.30447,601.16355,587.26779,593.21909,599.1191,606.8022000000001,609.20188,612.7556199999999,615.52793
617.62195,615.3554800000001,609.7470599999999,606.87669,602.80408,586.74028,593.2762399999999,599.75791,607.1694,609.42998,612.14639,614.85529
617.88472,614.68865,609.7956,607.30767,600.39052,586.4581099999999,594.16801,599.4117100000001,606.98419,609.17653,612.43955,615.15896
618.76818,615.3255899999999,609.9365,606.88395,600.9746,587.1258,592.87572,599.07622,606.2870300000001,608.48415,612.21876,614.84417
616.5728399999999,613.91789,609.27241,606.53051,600.42849,586.58114,593.4611699999999,598.4954,605.86238,608.1205600000001,612.11784,614.84589
617.51305,614.2658299999999,609.02329,606.1028,600.23117,586.8382700000001,592.55551,599.2190700000001,605.9253,608.22815,611.25287,613.8494499999999
617.67866,614.1857,608.61826,606.22789,600.92917,585.7372399999999,593.1925,598.11552,605.9178899999999,608.10755,611.3161,613.95462
616.59127,612.9744999999999,608.93152,605.85424,600.13152,585.86069,592.3528,604.13456,606.43545,608.73699,611.47137,614.01902
617.47128,613.73856,609.63255,606.86905,600.92856,587.13122,593.05321,604.14628,606.38373,608.62169,611.92987,614.59439
616.95181,614.17752,609.54173,606.75555,601.2069799999999,586.11228,592.5389,597.86907,605.5929199999999,607.82209,610.36828,612.94089
616.92283,613.48261,608.5048499999999,605.6958299999999,600.50657,587.70241,592.7198900000001,598.6776299999999,606.39911,608.6042,611.5702500000001,614.2362999999999
615.9498100000001,613.67586,608.7697499999999,606.14616,601.1380899999999,585.8978099999999,591.9715100000001,598.20737,604.9796200000001,607.2077599999999,611.0631500000001,613.73433
616.5518999999999,613.83598,608.26222,605.85951,600.51522,586.1305500000001,592.34475,598.27788,606.01259,608.1953199999999,611.1422,613.74766
617.01412,614.06828,608.5967800000001,605.94269,600.3880800000001,586.47551,593.3014000000001,598.46098,605.41244,607.49556,611.14779,613.8007600000001
616.57184,613.52765,607.2591500000001,604.8498199999999,600.37488,585.34558,592.83369,597.53855,605.99721,608.19967,611.09896,613.79026
617.63771,614.04956,609.944,606.78304,601.2049099999999,585.64593,592.1426600000001,598.17713,604.84674,607.04619,610.6945499999999,613.3361
617.1583800000001,612.71646,609.79378,605.38496,600.3771800000001,585.3024499999999,592.6583,597.2459,605.36841,607.47001,611.41865,614.1576299999999
615.82661,613.7064499999999,609.2656099999999,606.60707,599.63264,586.1045099999999,592.12321,597.18921,605.4505999999999,607.37483,610.53094,613.02021
617.1646300000001,613.7617,608.3325,605.5932899999999,599.62759,585.94081,591.87257,597.90166,606.06941,608.24171,610.44692,613.0218100000001
615.48638,613.47086,608.74111,606.2006799999999,601.09639,586.34563,591.75145,597.8890700000001,605.2562300000001,607.4607500000001,610.61474,613.2163700000001
615.91027,612.5271600000001,608.15923,605.60634,600.4159900000001,585.16197,591.59633,597.8430999999999,604.76741,606.9943,610.4401200000001,613.0995
617.06863,613.57817,608.22888,605.0723100000001,600.32005,585.46522,592.3999,597.8975499999999,605.3441399999999,607.29984,610.28815,612.8567099999999
617.58731,613.88157,608.74342,606.06572,600.09863,586.65148,592.75563,597.9206,605.6918099999999,607.80553,610.7390899999999,613.37677
616.29842,613.4010099999999,608.1849500000001,605.2871799999999,600.10556,585.19297,591.94557,597.3344500000001,604.7804100000001,607.11797,609.99703,612.50937
616.23691,612.96251,607.64231,605.12456,599.89552,585.43062,591.6953699999999,597.18696,604.93862,607.18738,609.91219,612.5516500000001
616.33849,612.7555,608.21915,605.41906,600.20785,586.04811,592.80082,597.7910899999999,605.14083,607.08101,610.69235,613.2345899999999
615.7001399999999,613.2040000000001,609.1914499999999,606.23438,600.61191,585.98343,591.93843,597.5776800000001,604.42999,606.62293,609.88115,612.53621
616.0534799999999,613.46861,608.2735700000001,605.51794,599.7768699999999,584.61768,592.28949,598.1869700000001,605.2766,607.3170500000001,610.41826,613.03216
615.74936,612.80054,607.8566999999999,605.2767699999999,599.84931,585.71871,592.09748,597.29472,604.4250599999999,606.71233,610.02053,612.5391800000001
616.42267,612.95242,608.05057,604.9566199999999,600.02988,586.02607,592.10092,597.63098,604.4161,606.60127,609.8834999999999,612.4645599999999
615.44011,612.04743,607.76379,605.22236,599.86207,586.6195200000001,591.80961,602.52076,604.6835000000001,606.8466500000001,610.37401,612.91084
615.89188,612.38972,608.522,605.74323,599.99362,585.0284099999999,591.1835599999999,597.61311,605.7854500000001,607.8783099999999,609.9892000000001,612.68349
616.88699,613.2611400000001,608.23306,605.3951400000001,599.65203,585.70472,592.39527,596.88521,605.5536500000001,607.94643,610.6981,613.3614600000001
615.86712,613.14007,608.85963,605.47757,600.31361,584.95311,591.7183600000001,597.68416,604.52074,606.79508,610.7222899999999,613.4501300000001
618.30532,612.91965,609.72749,605.70317,599.94554,585.94426,591.43553,598.00507,605.4270200000001,607.39466,610.11661,612.84259
615.8048500000001,612.33677,608.1845400000001,605.48694,599.81494,585.32311,591.51326,596.59492,603.9407,606.12123,609.18312,611.68601
